#TYPE,DATAW,MAPPINGW,GCDW,GCMW_DGC,DATAR,MAPPINGR,GCDR,GCMR_DGC
Write,41942912,41942912,16965671,40596931,181745369,
Read,41942912,290316225,526525376,74595680,181745368
