#TYPE,DATAW,MAPPINGW,GCDW,GCMW_DGC,DATAR,MAPPINGR,GCDR,GCMR_DGC
Write,42130480,42130480,35997625,41028209,280192719
Read,42130480,0,35780683,75257427,280192719
