0,184449,0.018617
10,567560,0.075902
20,311189,0.107310
30,162288,0.123690
40,106784,0.134468
50,72040,0.141740
60,49315,0.146717
70,33354,0.150083
80,22497,0.152354
90,15620,0.153931
100,11513,0.155093
110,8133,0.155914
120,6972,0.156617
130,42313,0.160888
140,160304,0.177068
150,209225,0.198185
160,155387,0.213869
170,147755,0.228782
180,150373,0.243959
190,134942,0.257579
200,111583,0.268841
210,105261,0.279466
220,105052,0.290069
230,100470,0.300209
240,92913,0.309587
250,94503,0.319126
260,104872,0.329710
270,115195,0.341337
280,114264,0.352870
290,112031,0.364178
300,119099,0.376199
310,131591,0.389480
320,137784,0.403387
330,137670,0.417282
340,135751,0.430984
350,136331,0.444744
360,140370,0.458912
370,145587,0.473606
380,149715,0.488717
390,150345,0.503892
400,148047,0.518834
410,146950,0.533666
420,146934,0.548497
430,148457,0.563481
440,149411,0.578561
450,148854,0.593585
460,146962,0.608418
470,144693,0.623022
480,143767,0.637533
490,142587,0.651925
500,141819,0.666239
510,138911,0.680259
520,137538,0.694141
530,133839,0.707650
540,131746,0.720947
550,127855,0.733852
560,125125,0.746481
570,121534,0.758747
580,118813,0.770739
590,114446,0.782291
600,110808,0.793475
610,107144,0.804289
620,102734,0.814658
630,98746,0.824625
640,95116,0.834225
650,90984,0.843408
660,87148,0.852204
670,82832,0.860564
680,79562,0.868595
690,75804,0.876246
700,71881,0.883501
710,68801,0.890445
720,65154,0.897021
730,61875,0.903266
740,57944,0.909115
750,55238,0.914690
760,52421,0.919981
770,49518,0.924979
780,47142,0.929737
790,44194,0.934198
800,41920,0.938429
810,39278,0.942393
820,36970,0.946125
830,34490,0.949606
840,33140,0.952951
850,30773,0.956057
860,29184,0.959002
870,27083,0.961736
880,25546,0.964314
890,23825,0.966719
900,22701,0.969010
910,21111,0.971141
920,20070,0.973166
930,18728,0.975057
940,17146,0.976787
950,16426,0.978445
960,15182,0.979978
970,14309,0.981422
980,13128,0.982747
990,12214,0.983980
1000,11576,0.985148
1010,10589,0.986217
1020,10001,0.987226
1030,9282,0.988163
1040,8667,0.989038
1050,8053,0.989851
1060,7541,0.990612
1070,7072,0.991325
1080,6420,0.991974
1090,6219,0.992601
1100,5656,0.993172
1110,5250,0.993702
1120,4823,0.994189
1130,4435,0.994636
1140,4130,0.995053
1150,3891,0.995446
1160,3505,0.995800
1170,3257,0.996128
1180,3011,0.996432
1190,2790,0.996714
1200,2487,0.996965
1210,2391,0.997206
1220,2121,0.997420
1230,1981,0.997620
1240,1916,0.997814
1250,1732,0.997989
1260,1666,0.998157
1270,1464,0.998304
1280,1321,0.998438
1290,1275,0.998566
1300,1222,0.998690
1310,1055,0.998796
1320,967,0.998894
1330,864,0.998981
1340,840,0.999066
1350,713,0.999138
1360,716,0.999210
1370,610,0.999272
1380,598,0.999332
1390,563,0.999389
1400,480,0.999437
1410,480,0.999486
1420,387,0.999525
1430,379,0.999563
1440,346,0.999598
1450,324,0.999631
1460,271,0.999658
1470,277,0.999686
1480,265,0.999713
1490,217,0.999735
1500,226,0.999757
1510,205,0.999778
1520,200,0.999798
1530,169,0.999815
1540,136,0.999829
1550,143,0.999844
1560,136,0.999857
1570,107,0.999868
1580,117,0.999880
1590,85,0.999888
1600,78,0.999896
1610,78,0.999904
1620,72,0.999911
1630,63,0.999918
1640,59,0.999924
1650,56,0.999929
1660,53,0.999935
1670,46,0.999939
1680,44,0.999944
1690,50,0.999949
1700,45,0.999953
1710,31,0.999957
1720,28,0.999959
1730,21,0.999962
1740,26,0.999964
1750,19,0.999966
1760,21,0.999968
1770,17,0.999970
1780,13,0.999971
1790,16,0.999973
1800,19,0.999975
1810,7,0.999976
1820,14,0.999977
1830,8,0.999978
1840,13,0.999979
1850,16,0.999981
1860,13,0.999982
1870,10,0.999983
1880,9,0.999984
1890,6,0.999984
1900,12,0.999986
1910,5,0.999986
1920,9,0.999987
1930,5,0.999988
1940,5,0.999988
1950,4,0.999988
1960,4,0.999989
1970,4,0.999989
1980,5,0.999990
1990,3,0.999990
2000,5,0.999991
2010,1,0.999991
2020,4,0.999991
2030,6,0.999992
2040,5,0.999992
2050,2,0.999992
2060,1,0.999993
2070,2,0.999993
2080,1,0.999993
2110,1,0.999993
2130,3,0.999993
2150,1,0.999993
2160,3,0.999994
2170,2,0.999994
2180,1,0.999994
2200,1,0.999994
2210,2,0.999994
2290,1,0.999994
2300,1,0.999994
2320,1,0.999995
2500,1,0.999995
3180,1,0.999995
3200,1,0.999995
3210,1,0.999995
3220,2,0.999995
3240,1,0.999995
3250,1,0.999995
3260,1,0.999995
3350,1,0.999996
3360,1,0.999996
3380,2,0.999996
3390,1,0.999996
3400,1,0.999996
3410,2,0.999996
3420,2,0.999996
3430,3,0.999997
3440,2,0.999997
3450,2,0.999997
3470,2,0.999997
3490,1,0.999997
3510,1,0.999998
3520,2,0.999998
3530,1,0.999998
3540,4,0.999998
3550,2,0.999999
3560,1,0.999999
3580,1,0.999999
3590,2,0.999999
3600,2,0.999999
3610,1,0.999999
3630,2,0.999999
3640,1,1.000000
3650,2,1.000000
3730,1,1.000000
3740,1,1.000000
3800,1,1.000000
