#type,	DATAR,		DATAW,		MAPPINGR,	MAPPINGW
A,	9980313,	6457728,	75581350,	2559356
B,	9877460,	5930528,	75266882,	2254094
C,	11208670,	5872000,	74640178,	2112549
D,	7847468,	5937440,	75505612,	2201176
E,	10250550,	5878208,	76124518,	2142673
F,	14609462,	6457760,	74224718,	2236621
