0,190113,0.021834
10,350595,0.062099
20,373328,0.104975
30,283009,0.137478
40,177855,0.157904
50,103287,0.169766
60,67913,0.177566
70,43779,0.182594
80,30422,0.186088
90,23355,0.188770
100,18401,0.190883
110,15700,0.192686
120,14794,0.194385
130,37044,0.198640
140,48926,0.204259
150,37359,0.208549
160,38013,0.212915
170,39999,0.217509
180,40385,0.222147
190,39582,0.226693
200,39906,0.231276
210,41714,0.236067
220,42173,0.240910
230,41894,0.245722
240,40040,0.250320
250,40153,0.254932
260,46400,0.260261
270,65273,0.267757
280,56289,0.274222
290,49244,0.279877
300,50171,0.285639
310,49489,0.291323
320,46952,0.296715
330,46341,0.302037
340,45834,0.307301
350,45951,0.312579
360,44781,0.317722
370,44390,0.322820
380,44315,0.327909
390,44793,0.333054
400,47774,0.338540
410,48489,0.344109
420,46368,0.349434
430,46152,0.354735
440,46145,0.360035
450,45756,0.365290
460,45823,0.370552
470,46154,0.375853
480,45682,0.381099
490,45049,0.386273
500,44862,0.391425
510,44183,0.396500
520,44253,0.401582
530,45619,0.406821
540,47889,0.412321
550,47203,0.417742
560,45002,0.422911
570,44358,0.428005
580,43657,0.433019
590,42537,0.437904
600,42250,0.442757
610,42186,0.447602
620,41332,0.452348
630,40330,0.456980
640,39710,0.461541
650,39594,0.466088
660,39114,0.470580
670,39380,0.475103
680,39467,0.479636
690,38301,0.484034
700,37336,0.488322
710,36864,0.492556
720,36232,0.496717
730,36137,0.500868
740,35508,0.504946
750,35197,0.508988
760,34325,0.512930
770,33941,0.516828
780,33558,0.520682
790,33019,0.524474
800,33560,0.528329
810,34118,0.532247
820,33279,0.536069
830,32818,0.539838
840,32088,0.543523
850,31955,0.547193
860,31285,0.550786
870,30756,0.554318
880,30236,0.557791
890,30155,0.561254
900,29673,0.564662
910,29373,0.568035
920,28794,0.571342
930,28760,0.574645
940,28777,0.577950
950,28358,0.581207
960,27960,0.584418
970,27375,0.587562
980,27450,0.590715
990,27059,0.593823
1000,26435,0.596859
1010,26169,0.599864
1020,25859,0.602834
1030,25664,0.605781
1040,25584,0.608720
1050,25327,0.611628
1060,24839,0.614481
1070,25181,0.617373
1080,25276,0.620276
1090,24711,0.623114
1100,24384,0.625914
1110,24128,0.628685
1120,23579,0.631393
1130,23302,0.634070
1140,23319,0.636748
1150,23051,0.639395
1160,22709,0.642003
1170,22625,0.644602
1180,22335,0.647167
1190,21999,0.649693
1200,21705,0.652186
1210,22018,0.654715
1220,21463,0.657180
1230,21418,0.659639
