#					DATA-W		GC-W		COMP-W		MAP-W
HASH				12499936	2588218		0			12578329
LSM-KVD(5,3)		12555760	2639476		7324083		18533157
LSM-KVD(5,3)+OPT	12555760	2641408		9383209		0

