0,233245,0.024606
10,597664,0.087658
20,477466,0.138028
30,364326,0.176463
40,281524,0.206163
50,211221,0.228446
60,162728,0.245613
70,123640,0.258657
80,92853,0.268452
90,72492,0.276100
100,58060,0.282225
110,46716,0.287153
120,38272,0.291191
130,68974,0.298467
140,233803,0.323133
150,343034,0.359321
160,320069,0.393087
170,310531,0.425847
180,304948,0.458018
190,277101,0.487251
200,239315,0.512498
210,207107,0.534347
220,187123,0.554087
230,170070,0.572029
240,151000,0.587959
250,131232,0.601803
260,115347,0.613972
270,109342,0.625507
280,125602,0.638758
290,146874,0.654252
300,162289,0.671373
310,175046,0.689840
320,185406,0.709399
330,184746,0.728889
340,175382,0.747392
350,166630,0.764970
360,161693,0.782028
370,156608,0.798550
380,148924,0.814261
390,139683,0.828997
400,129931,0.842704
410,121405,0.855512
420,111859,0.867312
430,103147,0.878194
440,94376,0.888150
450,86477,0.897273
460,78796,0.905586
470,71583,0.913138
480,64561,0.919948
490,58994,0.926172
500,53380,0.931803
510,48906,0.936963
520,43754,0.941579
530,39624,0.945759
540,35802,0.949536
550,32553,0.952970
560,29917,0.956126
570,27310,0.959007
580,24664,0.961609
590,22462,0.963979
600,20476,0.966139
610,18602,0.968102
620,17466,0.969944
630,15787,0.971610
640,14720,0.973162
650,13535,0.974590
660,12674,0.975927
670,11780,0.977170
680,11017,0.978332
690,10366,0.979426
700,9706,0.980450
710,8842,0.981383
720,8240,0.982252
730,7893,0.983085
740,7646,0.983891
750,6947,0.984624
760,6701,0.985331
770,6178,0.985983
780,5937,0.986609
790,5590,0.987199
800,5323,0.987760
810,4983,0.988286
820,4984,0.988812
830,4609,0.989298
840,4425,0.989765
850,4134,0.990201
860,3935,0.990616
870,3890,0.991027
880,3586,0.991405
890,3603,0.991785
900,3414,0.992145
910,3221,0.992485
920,3146,0.992817
930,2986,0.993132
940,2985,0.993447
950,2742,0.993736
960,2625,0.994013
970,2672,0.994295
980,2509,0.994560
990,2384,0.994811
1000,2340,0.995058
1010,2254,0.995296
1020,2210,0.995529
1030,2092,0.995750
1040,2023,0.995963
1050,1970,0.996171
1060,1777,0.996358
1070,1738,0.996542
1080,1731,0.996724
1090,1654,0.996899
1100,1538,0.997061
1110,1492,0.997218
1120,1417,0.997368
1130,1347,0.997510
1140,1325,0.997650
1150,1268,0.997784
1160,1243,0.997915
1170,1056,0.998026
1180,1097,0.998142
1190,1004,0.998248
1200,973,0.998350
1210,932,0.998449
1220,886,0.998542
1230,843,0.998631
1240,792,0.998715
1250,746,0.998793
1260,704,0.998868
1270,698,0.998941
1280,630,0.999008
1290,610,0.999072
1300,566,0.999132
1310,553,0.999190
1320,506,0.999243
1330,494,0.999296
1340,457,0.999344
1350,419,0.999388
1360,379,0.999428
1370,362,0.999466
1380,341,0.999502
1390,345,0.999539
1400,309,0.999571
1410,234,0.999596
1420,262,0.999623
1430,232,0.999648
1440,242,0.999673
1450,206,0.999695
1460,182,0.999714
1470,171,0.999732
1480,166,0.999750
1490,170,0.999768
1500,133,0.999782
1510,126,0.999795
1520,114,0.999807
1530,105,0.999818
1540,115,0.999830
1550,76,0.999838
1560,80,0.999847
1570,69,0.999854
1580,76,0.999862
1590,77,0.999870
1600,45,0.999875
1610,36,0.999879
1620,42,0.999883
1630,37,0.999887
1640,49,0.999892
1650,28,0.999895
1660,31,0.999899
1670,30,0.999902
1680,27,0.999905
1690,26,0.999907
1700,25,0.999910
1710,22,0.999912
1720,18,0.999914
1730,26,0.999917
1740,22,0.999919
1750,7,0.999920
1760,13,0.999921
1770,16,0.999923
1780,12,0.999924
1790,13,0.999926
1800,12,0.999927
1810,13,0.999928
1820,11,0.999930
1830,10,0.999931
1840,9,0.999932
1850,8,0.999932
1860,9,0.999933
1870,6,0.999934
1880,9,0.999935
1890,10,0.999936
1900,7,0.999937
1910,6,0.999937
1920,9,0.999938
1930,8,0.999939
1940,8,0.999940
1950,5,0.999941
1960,5,0.999941
1970,4,0.999941
1980,9,0.999942
1990,7,0.999943
2000,7,0.999944
2010,4,0.999944
2020,8,0.999945
2030,6,0.999946
2040,6,0.999946
2050,6,0.999947
2060,6,0.999948
2070,6,0.999948
2080,11,0.999949
2090,6,0.999950
2100,5,0.999951
2110,5,0.999951
2120,6,0.999952
2130,7,0.999953
2140,9,0.999953
2150,6,0.999954
2160,4,0.999955
2170,8,0.999955
2180,6,0.999956
2190,5,0.999957
2200,4,0.999957
2210,9,0.999958
2220,10,0.999959
2230,3,0.999959
2240,2,0.999959
2250,2,0.999960
2260,4,0.999960
2270,4,0.999961
2280,9,0.999961
2290,4,0.999962
2300,3,0.999962
2310,4,0.999963
2320,2,0.999963
2330,7,0.999964
2340,6,0.999964
2350,7,0.999965
2360,6,0.999966
2370,2,0.999966
2380,6,0.999966
2390,1,0.999967
2400,3,0.999967
2410,9,0.999968
2420,9,0.999969
2430,6,0.999969
2440,5,0.999970
2450,6,0.999971
2460,6,0.999971
2470,7,0.999972
2480,3,0.999972
2490,8,0.999973
2500,7,0.999974
2510,7,0.999975
2520,5,0.999975
2530,4,0.999976
2540,3,0.999976
2550,5,0.999976
2560,5,0.999977
2580,4,0.999977
2590,6,0.999978
2600,3,0.999978
2610,8,0.999979
2620,4,0.999980
2630,7,0.999980
2640,5,0.999981
2650,7,0.999982
2660,2,0.999982
2670,4,0.999982
2680,6,0.999983
2690,3,0.999983
2700,2,0.999983
2710,1,0.999983
2720,2,0.999984
2730,3,0.999984
2740,2,0.999984
2750,1,0.999984
2760,4,0.999985
2780,2,0.999985
2790,3,0.999985
2800,5,0.999986
2810,1,0.999986
2820,1,0.999986
2830,5,0.999986
2840,1,0.999987
2850,2,0.999987
2860,1,0.999987
2890,3,0.999987
2900,3,0.999988
2910,1,0.999988
2920,2,0.999988
2930,1,0.999988
2940,6,0.999989
2950,1,0.999989
2970,1,0.999989
3000,1,0.999989
3010,1,0.999989
3020,1,0.999989
3030,2,0.999989
3040,3,0.999990
3050,7,0.999990
3060,1,0.999991
3070,2,0.999991
3080,6,0.999991
3090,1,0.999991
3100,1,0.999992
3120,1,0.999992
3150,2,0.999992
3160,5,0.999992
3170,4,0.999993
3180,5,0.999993
3190,3,0.999994
3200,4,0.999994
3210,2,0.999994
3220,7,0.999995
3230,2,0.999995
3240,1,0.999995
3250,4,0.999996
3260,1,0.999996
3270,1,0.999996
3290,1,0.999996
3300,1,0.999996
3310,2,0.999996
3330,2,0.999997
3340,2,0.999997
3360,1,0.999997
3380,3,0.999997
3390,2,0.999997
3430,1,0.999998
3450,1,0.999998
3490,1,0.999998
3500,2,0.999998
3550,2,0.999998
3560,1,0.999998
3570,1,0.999998
3580,1,0.999999
3590,1,0.999999
3640,1,0.999999
3700,1,0.999999
3970,1,0.999999
3980,1,0.999999
3990,1,0.999999
4000,1,0.999999
4020,1,0.999999
4040,1,0.999999
4050,2,1.000000
4080,1,1.000000
4390,2,1.000000
